event_id,plan_id,stage_seq,stage_name,event_date,result,attempt_no
E000060,P00011,5,확정배포,2023-05-18,통과,1
E000061,P00012,1,부서초안제출,2023-02-03,통과,1
E000062,P00012,2,예산실1차조정,2023-02-16,철회,1
E000063,P00013,1,부서초안제출,2023-01-12,통과,1
E000064,P00013,2,예산실1차조정,2023-02-24,통과,1
E000065,P00013,3,경영진검토,2023-03-29,반려,1
E000066,P00013,3,경영진검토,2023-04-25,통과,2
E000067,P00013,4,이사회승인,2023-06-02,통과,1
E000068,P00013,5,확정배포,2023-06-21,통과,1
E000069,P00014,1,부서초안제출,2023-01-22,통과,1
E000070,P00014,2,예산실1차조정,2023-02-01,통과,1
E000071,P00014,3,경영진검토,2023-02-22,통과,1
E000072,P00014,4,이사회승인,2023-03-07,반려,1
E000073,P00014,4,이사회승인,2023-04-11,반려,2
E000074,P00015,1,부서초안제출,2023-02-24,통과,1
E000075,P00015,2,예산실1차조정,2023-04-09,통과,1
E000076,P00015,3,경영진검토,2023-04-27,통과,1
E000077,P00015,4,이사회승인,2023-05-23,통과,1
E000078,P00015,5,확정배포,2023-06-30,통과,1
E000079,P00016,1,부서초안제출,2024-02-08,통과,1
E000080,P00016,2,예산실1차조정,2024-02-24,통과,1
E000081,P00016,3,경영진검토,2024-03-10,반려,1
E000082,P00016,3,경영진검토,2024-03-25,통과,2
E000083,P00016,4,이사회승인,2024-05-05,반려,1
E000084,P00016,4,이사회승인,2024-05-19,통과,2
E000085,P00016,5,확정배포,2024-06-16,통과,1
E000086,P00017,1,부서초안제출,2024-01-31,통과,1
E000087,P00017,2,예산실1차조정,2024-02-23,통과,1
E000088,P00017,3,경영진검토,2024-04-06,통과,1
E000089,P00017,4,이사회승인,2024-04-24,통과,1
E000090,P00017,5,확정배포,2024-05-16,통과,1
E000091,P00018,1,부서초안제출,2024-02-14,통과,1
E000092,P00018,2,예산실1차조정,2024-03-29,반려,1
E000093,P00018,2,예산실1차조정,2024-05-05,통과,2
E000094,P00018,3,경영진검토,2024-06-16,통과,1
E000095,P00018,4,이사회승인,2024-06-26,반려,1
E000096,P00018,4,이사회승인,2024-08-08,통과,2
E000097,P00018,5,확정배포,2024-08-22,통과,1
E000098,P00019,1,부서초안제출,2024-02-01,통과,1
E000099,P00019,2,예산실1차조정,2024-02-17,반려,1
E000100,P00019,2,예산실1차조정,2024-03-26,통과,2
E000101,P00019,3,경영진검토,2024-04-09,통과,1
E000102,P00019,4,이사회승인,2024-04-23,반려,1
E000103,P00019,4,이사회승인,2024-05-20,반려,2
E000104,P00020,1,부서초안제출,2024-02-09,통과,1
E000105,P00020,2,예산실1차조정,2024-02-21,철회,1
E000106,P00021,1,부서초안제출,2024-02-14,통과,1
E000107,P00021,2,예산실1차조정,2024-03-14,통과,1
E000108,P00021,3,경영진검토,2024-03-24,통과,1
E000109,P00021,4,이사회승인,2024-05-06,반려,1
E000110,P00021,4,이사회승인,2024-05-31,통과,2
E000111,P00021,5,확정배포,2024-06-16,철회,1
E000112,P00022,1,부서초안제출,2024-02-19,통과,1
E000113,P00022,2,예산실1차조정,2024-03-03,통과,1
E000114,P00022,3,경영진검토,2024-04-08,반려,1
E000115,P00022,3,경영진검토,2024-05-09,통과,2
E000116,P00022,4,이사회승인,2024-05-23,통과,1
E000117,P00022,5,확정배포,2024-06-15,통과,1
E000118,P00023,1,부서초안제출,2024-01-21,통과,1
E000119,P00023,2,예산실1차조정,2024-02-15,반려,1
E000120,P00023,2,예산실1차조정,2024-03-25,통과,2
E000121,P00023,3,경영진검토,2024-05-02,통과,1
E000122,P00023,4,이사회승인,2024-05-18,통과,1
E000123,P00023,5,확정배포,2024-06-25,통과,1
E000124,P00024,1,부서초안제출,2024-02-14,통과,1
E000125,P00024,2,예산실1차조정,2024-02-29,통과,1
E000126,P00024,3,경영진검토,2024-03-22,철회,1
E000127,P00025,1,부서초안제출,2025-01-15,통과,1
E000128,P00025,2,예산실1차조정,2025-01-31,통과,1
E000129,P00025,3,경영진검토,2025-03-10,통과,1
E000130,P00025,4,이사회승인,2025-03-31,반려,1
E000131,P00025,4,이사회승인,2025-04-28,통과,2
E000132,P00025,5,확정배포,2025-05-09,통과,1
E000133,P00026,1,부서초안제출,2025-02-18,통과,1
E000134,P00026,2,예산실1차조정,2025-03-19,통과,1
E000135,P00026,3,경영진검토,2025-04-29,반려,1
E000136,P00026,3,경영진검토,2025-05-12,통과,2
E000137,P00026,4,이사회승인,2025-06-15,반려,1
E000138,P00026,4,이사회승인,2025-06-28,반려,2
E000139,P00027,1,부서초안제출,2025-01-18,통과,1
E000140,P00027,2,예산실1차조정,2025-03-03,통과,1
E000141,P00027,3,경영진검토,2025-04-07,통과,1
E000142,P00027,4,이사회승인,2025-04-21,반려,1
E000143,P00027,4,이사회승인,2025-05-30,통과,2
E000144,P00027,5,확정배포,2025-06-25,통과,1
E000145,P00028,1,부서초안제출,2025-01-05,통과,1
E000146,P00028,2,예산실1차조정,2025-01-19,통과,1
E000147,P00028,3,경영진검토,2025-02-15,통과,1
E000148,P00028,4,이사회승인,2025-03-09,반려,1
E000149,P00028,4,이사회승인,2025-03-27,반려,2
E000150,P00029,1,부서초안제출,2026-02-20,통과,1
E000151,P00029,2,예산실1차조정,2026-04-03,통과,1
E000152,P00029,3,경영진검토,2026-04-30,통과,1
E000153,P00029,4,이사회승인,2026-06-01,통과,1
E000154,P00029,5,확정배포,2026-06-17,통과,1
E000155,P00030,1,부서초안제출,2026-02-25,통과,1
E000156,P00030,2,예산실1차조정,2026-04-08,통과,1
E000157,P00030,3,경영진검토,2026-04-22,통과,1
E000158,P00030,4,이사회승인,2026-05-20,통과,1
E000159,P00030,5,확정배포,2026-07-01,통과,1
E000160,P00031,1,부서초안제출,2026-01-31,통과,1
E000161,P00031,2,예산실1차조정,2026-03-02,반려,1
E000162,P00031,2,예산실1차조정,2026-03-15,통과,2
E000163,P00031,3,경영진검토,2026-04-02,통과,1
E000164,P00031,4,이사회승인,2026-04-16,통과,1
E000165,P00031,5,확정배포,2026-05-15,통과,1
E000166,P00032,1,부서초안제출,2026-02-24,통과,1
E000167,P00032,2,예산실1차조정,2026-04-01,통과,1
E000168,P00032,3,경영진검토,2026-05-10,통과,1
E000169,P00032,4,이사회승인,2026-05-24,반려,1
E000170,P00032,4,이사회승인,2026-06-28,통과,2
E000171,P00032,5,확정배포,2026-07-22,통과,1
E000172,P00033,1,부서초안제출,2026-02-25,통과,1
E000173,P00033,2,예산실1차조정,2026-04-07,통과,1
E000174,P00033,3,경영진검토,2026-04-27,통과,1
E000175,P00033,4,이사회승인,2026-05-12,통과,1
E000176,P00033,5,확정배포,2026-05-26,통과,1
E000177,P00034,1,부서초안제출,2026-02-24,통과,1
E000178,P00034,2,예산실1차조정,2026-03-27,통과,1
E000179,P00034,3,경영진검토,2026-04-22,통과,1
E000180,P00034,4,이사회승인,2026-05-16,반려,1
E000181,P00034,4,이사회승인,2026-05-30,통과,2
E000182,P00034,5,확정배포,2026-06-25,통과,1
E000183,P00035,1,부서초안제출,,통과,1
E000184,P00035,2,예산실1차조정,2022-02-20,통과,1
E000185,P00035,3,경영진검토,2022-03-13,통과,1
E000186,P00035,4,이사회승인,2022-04-07,반려,1
E000187,P00035,4,이사회승인,2022-05-06,반려,2
E000188,P00036,1,부서초안제출,2022-01-09,통과,1
E000189,P00036,2,예산실1차조정,2022-02-15,통과,1
E000190,P00036,3,경영진검토,2022-03-26,통과,1
E000191,P00036,4,이사회승인,2022-04-26,반려,1
E000192,P00036,4,이사회승인,2022-05-09,통과,2
E000193,P00036,5,확정배포,2022-06-03,통과,1
E000194,P00037,1,부서초안제출,2022-01-11,통과,1
E000195,P00037,2,예산실1차조정,2022-01-31,통과,1
E000196,P00037,3,경영진검토,2022-02-21,철회,1
E000197,P00038,1,부서초안제출,2022-01-12,통과,1
E000198,P00038,2,예산실1차조정,2022-01-23,통과,1
E000199,P00038,3,경영진검토,2022-02-10,통과,1
E000200,P00038,4,이사회승인,2022-02-22,반려,1
E000201,P00038,4,이사회승인,2022-04-02,통과,2
E000202,P00038,5,확정배포,2022-05-06,통과,1
E000203,P00039,1,부서초안제출,2022-01-09,통과,1
E000204,P00039,2,예산실1차조정,2022-01-23,통과,1
E000205,P00039,3,경영진검토,2022-02-17,통과,1
E000206,P00039,4,이사회승인,,통과,1
E000207,P00039,5,확정배포,2022-04-01,통과,1
E000208,P00040,1,부서초안제출,2022-03-15,통과,1
E000209,P00040,2,예산실1차조정,2022-03-25,반려,1
E000210,P00040,2,예산실1차조정,2022-04-05,통과,2
E000211,P00040,3,경영진검토,2022-04-27,통과,1
E000212,P00040,4,이사회승인,2022-05-10,통과,1
E000213,P00040,5,확정배포,2022-05-28,통과,1
E000214,P00041,1,부서초안제출,2022-02-17,통과,1
E000215,P00041,2,예산실1차조정,2022-03-17,통과,1
E000216,P00041,3,경영진검토,2022-04-06,통과,1
E000217,P00041,4,이사회승인,2022-04-21,통과,1
E000218,P00041,5,확정배포,2022-05-06,통과,1
E000219,P00042,1,부서초안제출,2022-01-10,통과,1
E000220,P00042,2,예산실1차조정,2022-01-24,통과,1
E000221,P00042,3,경영진검토,2022-03-02,통과,1
E000222,P00042,4,이사회승인,2022-04-02,통과,1
E000223,P00042,5,확정배포,2022-05-15,통과,1
E000224,P00043,1,부서초안제출,2022-02-14,통과,1
E000225,P00043,2,예산실1차조정,2022-03-12,통과,1
E000226,P00043,3,경영진검토,2022-04-07,통과,1
E000227,P00043,4,이사회승인,2022-05-06,반려,1
E000228,P00043,4,이사회승인,2022-06-07,통과,2
E000229,P00043,5,확정배포,2022-06-28,통과,1
E000230,P00044,1,부서초안제출,2023-02-09,통과,1
E000231,P00044,2,예산실1차조정,2023-03-12,반려,1
E000232,P00044,2,예산실1차조정,2023-04-10,반려,2
E000233,P00045,1,부서초안제출,,통과,1
E000234,P00045,2,예산실1차조정,2023-03-27,통과,1
E000235,P00045,3,경영진검토,2023-05-03,통과,1
E000236,P00045,4,이사회승인,2023-05-14,반려,1
E000237,P00045,4,이사회승인,2023-05-26,통과,2
E000238,P00045,5,확정배포,2023-06-24,통과,1
E000239,P00046,1,부서초안제출,2023-01-26,통과,1
E000240,P00046,2,예산실1차조정,2023-03-08,반려,1
E000241,P00046,2,예산실1차조정,2023-03-18,통과,2
E000242,P00046,3,경영진검토,2023-04-21,통과,1
E000243,P00046,4,이사회승인,2023-05-06,통과,1
E000244,P00046,5,확정배포,2023-05-18,통과,1
E000245,P00047,1,부서초안제출,2023-03-16,통과,1
E000246,P00047,2,예산실1차조정,2023-03-31,통과,1
E000247,P00047,3,경영진검토,2023-05-04,통과,1
E000248,P00047,4,이사회승인,2023-06-09,통과,1
E000249,P00047,5,확정배포,2023-07-07,통과,1
E000250,P00048,1,부서초안제출,2023-03-11,통과,1
E000251,P00048,2,예산실1차조정,2023-04-24,반려,1
E000252,P00048,2,예산실1차조정,2023-05-26,통과,2
E000253,P00048,3,경영진검토,2023-06-09,통과,1
E000254,P00048,4,이사회승인,2023-06-20,통과,1
E000255,P00048,5,확정배포,2023-07-15,통과,1
E000256,P00049,1,부서초안제출,2023-01-19,통과,1
E000257,P00049,2,예산실1차조정,2023-03-01,통과,1
E000258,P00049,3,경영진검토,2023-04-14,통과,1
E000259,P00049,4,이사회승인,2023-05-14,통과,1
E000260,P00049,5,확정배포,2023-06-22,통과,1
E000261,P00050,1,부서초안제출,2023-02-17,통과,1
E000262,P00050,2,예산실1차조정,2023-03-20,통과,1
E000263,P00050,3,경영진검토,2023-04-01,통과,1
E000264,P00050,4,이사회승인,2023-04-22,반려,1
E000265,P00050,4,이사회승인,2023-05-18,반려,2
E000266,P00051,1,부서초안제출,2023-01-28,통과,1
E000267,P00051,2,예산실1차조정,2023-02-24,반려,1
E000268,P00051,2,예산실1차조정,2023-03-19,통과,2
E000269,P00051,3,경영진검토,2023-04-09,통과,1
E000270,P00051,4,이사회승인,2023-05-23,반려,1
E000271,P00051,4,이사회승인,2023-07-04,통과,2
E000272,P00051,5,확정배포,2023-07-25,통과,1
E000273,P00052,1,부서초안제출,2024-02-15,통과,1
E000274,P00052,2,예산실1차조정,2024-03-28,통과,1
E000275,P00052,3,경영진검토,2024-04-12,철회,1
E000276,P00053,1,부서초안제출,2024-01-21,통과,1
E000277,P00053,2,예산실1차조정,2024-02-24,통과,1
E000278,P00053,3,경영진검토,2024-04-08,통과,1
E000279,P00053,4,이사회승인,2024-05-06,반려,1
E000280,P00053,4,이사회승인,2024-06-10,통과,2
E000281,P00053,5,확정배포,2024-06-22,통과,1
E000282,P00054,1,부서초안제출,2024-01-09,통과,1
E000283,P00054,2,예산실1차조정,2024-02-21,반려,1
E000284,P00054,2,예산실1차조정,2024-03-24,반려,2
E000285,P00055,1,부서초안제출,2024-01-12,통과,1
E000286,P00055,2,예산실1차조정,2024-02-01,통과,1
E000287,P00055,3,경영진검토,2024-02-21,통과,1
E000288,P00055,4,이사회승인,2024-03-03,반려,1
E000289,P00055,4,이사회승인,2024-04-12,반려,2
E000290,P00056,1,부서초안제출,2024-02-04,통과,1
E000291,P00056,2,예산실1차조정,2024-03-07,통과,1
E000292,P00056,3,경영진검토,2024-03-19,반려,1
E000293,P00056,3,경영진검토,2024-04-13,통과,2
E000294,P00056,4,이사회승인,2024-05-21,통과,1
E000295,P00056,5,확정배포,2024-07-02,통과,1
E000296,P00057,1,부서초안제출,2025-02-19,통과,1
E000297,P00057,2,예산실1차조정,2025-03-28,반려,1
E000298,P00057,2,예산실1차조정,2025-04-20,통과,2
E000299,P00057,3,경영진검토,2025-05-01,반려,1
E000300,P00057,3,경영진검토,2025-05-26,통과,2
E000301,P00057,4,이사회승인,2025-06-05,통과,1
E000302,P00057,5,확정배포,2025-07-09,통과,1
E000303,P00058,1,부서초안제출,2025-03-09,통과,1
E000304,P00058,2,예산실1차조정,2025-04-06,반려,1
E000305,P00058,2,예산실1차조정,2025-04-28,통과,2
E000306,P00058,3,경영진검토,2025-05-23,통과,1
E000307,P00058,4,이사회승인,2025-06-15,통과,1
E000308,P00058,5,확정배포,2025-07-18,통과,1
E000309,P00059,1,부서초안제출,2025-01-26,통과,1
E000310,P00059,2,예산실1차조정,2025-02-27,통과,1
E000311,P00059,3,경영진검토,2025-03-19,통과,1
E000312,P00059,4,이사회승인,2025-04-27,반려,1
E000313,P00059,4,이사회승인,2025-05-31,통과,2
E000314,P00059,5,확정배포,2025-06-17,통과,1
E000315,P00060,1,부서초안제출,2025-02-07,통과,1
E000316,P00060,2,예산실1차조정,2025-03-01,통과,1
E000317,P00060,3,경영진검토,2025-03-18,통과,1
E000318,P00060,4,이사회승인,2025-04-12,반려,1
E000319,P00060,4,이사회승인,2025-05-06,반려,2
E000320,P00061,1,부서초안제출,2025-02-07,통과,1
E000321,P00061,2,예산실1차조정,2025-03-07,통과,1
E000322,P00061,3,경영진검토,2025-04-17,통과,1
E000323,P00061,4,이사회승인,2025-05-28,반려,1
E000324,P00061,4,이사회승인,2025-06-28,통과,2
E000325,P00061,5,확정배포,2025-07-30,통과,1
E000326,P00062,1,부서초안제출,2025-01-14,통과,1
E000327,P00062,2,예산실1차조정,2025-01-29,반려,1
E000328,P00062,2,예산실1차조정,2025-02-28,통과,2
E000329,P00062,3,경영진검토,2025-04-06,반려,1
E000330,P00062,3,경영진검토,2025-05-06,통과,2
E000331,P00062,4,이사회승인,2025-06-08,반려,1
E000332,P00062,4,이사회승인,2025-07-04,통과,2
E000333,P00062,5,확정배포,2025-07-20,통과,1
E000334,P00063,1,부서초안제출,2025-01-24,통과,1
E000335,P00063,2,예산실1차조정,2025-03-08,통과,1
E000336,P00063,3,경영진검토,2025-04-12,통과,1
E000337,P00063,4,이사회승인,2025-04-25,통과,1
E000338,P00063,5,확정배포,2025-05-14,통과,1
E000339,P00064,1,부서초안제출,2025-02-08,통과,1
E000340,P00064,2,예산실1차조정,2025-03-12,통과,1
E000341,P00064,3,경영진검토,2025-04-04,통과,1
E000342,P00064,4,이사회승인,2025-05-01,통과,1
E000343,P00064,5,확정배포,2025-05-15,철회,1
E000344,P00065,1,부서초안제출,2025-01-22,통과,1
E000345,P00065,2,예산실1차조정,2025-01-29,철회,1
E000346,P00066,1,부서초안제출,2025-01-09,통과,1
E000347,P00066,2,예산실1차조정,2025-02-05,통과,1
E000348,P00066,3,경영진검토,2025-03-03,통과,1
E000349,P00066,4,이사회승인,2025-04-11,통과,1
E000350,P00066,5,확정배포,2025-05-21,통과,1
E000351,P00067,1,부서초안제출,2026-02-25,통과,1
E000352,P00067,2,예산실1차조정,2026-03-18,통과,1
E000353,P00067,3,경영진검토,2026-04-03,통과,1
E000354,P00067,4,이사회승인,2026-04-18,반려,1
E000355,P00067,4,이사회승인,2026-05-01,통과,2
E000356,P00067,5,확정배포,2026-05-06,철회,1
E000357,P00068,1,부서초안제출,2026-01-12,통과,1
E000358,P00068,2,예산실1차조정,2026-01-25,통과,1
E000359,P00068,3,경영진검토,2026-02-28,통과,1
E000360,P00068,4,이사회승인,2026-04-08,통과,1
E000361,P00068,5,확정배포,2026-05-19,통과,1
E000362,P00069,1,부서초안제출,2026-02-27,통과,1
E000363,P00069,2,예산실1차조정,2026-03-28,통과,1
E000364,P00069,3,경영진검토,2026-04-22,통과,1
E000365,P00069,4,이사회승인,2026-05-07,반려,1
E000366,P00069,4,이사회승인,2026-05-28,통과,2
E000367,P00069,5,확정배포,2026-06-25,통과,1
E000368,P00070,1,부서초안제출,2026-02-01,통과,1
E000369,P00070,2,예산실1차조정,2026-02-24,철회,1
E000370,P00071,1,부서초안제출,2026-01-26,통과,1
E000371,P00071,2,예산실1차조정,2026-02-28,통과,1
E000372,P00071,3,경영진검토,2026-04-04,통과,1
E000373,P00071,4,이사회승인,2026-04-19,통과,1
E000374,P00071,5,확정배포,2026-05-19,통과,1
E000375,P00072,1,부서초안제출,2026-01-05,통과,1
E000376,P00072,2,예산실1차조정,2026-01-21,통과,1
E000377,P00072,3,경영진검토,2026-02-08,철회,1
E000378,P00073,1,부서초안제출,2026-03-16,통과,1
E000379,P00073,2,예산실1차조정,2026-04-15,반려,1
E000380,P00073,2,예산실1차조정,2026-05-26,통과,2
E000381,P00073,3,경영진검토,2026-06-11,통과,1
E000382,P00073,4,이사회승인,2026-06-30,통과,1
E000383,P00073,5,확정배포,2026-08-13,통과,1
E000384,P00074,1,부서초안제출,2026-03-04,통과,1
E000385,P00074,2,예산실1차조정,2026-04-12,통과,1
E000386,P00074,3,경영진검토,2026-05-22,통과,1
E000387,P00074,4,이사회승인,2026-06-27,반려,1
E000388,P00074,4,이사회승인,2026-07-30,통과,2
E000389,P00075,1,부서초안제출,2026-03-15,통과,1
E000390,P00075,2,예산실1차조정,2026-04-26,반려,1
E000391,P00075,2,예산실1차조정,2026-05-06,통과,2
E000392,P00075,3,경영진검토,2026-06-17,반려,1
E000393,P00075,3,경영진검토,2026-06-30,통과,2
E000394,P00075,4,이사회승인,2026-07-26,반려,1
E000395,P00075,4,이사회승인,2026-08-10,통과,2
E000396,P00076,1,부서초안제출,2026-03-06,통과,1
E000397,P00076,2,예산실1차조정,2026-03-27,반려,1
E000398,P00076,2,예산실1차조정,2026-04-22,통과,2
E000399,P00076,3,경영진검토,2026-05-16,통과,1
E000400,P00076,4,이사회승인,2026-06-13,반려,1
E000401,P00076,4,이사회승인,2026-07-26,통과,2
E000402,P00076,5,확정배포,2026-08-24,통과,1
E000403,P00077,1,부서초안제출,2022-03-01,통과,1
E000404,P00077,2,예산실1차조정,2022-03-26,통과,1
E000405,P00077,3,경영진검토,2022-05-01,통과,1
E000406,P00077,4,이사회승인,2022-06-12,통과,1
E000407,P00077,5,확정배포,2022-07-23,통과,1
E000408,P00078,1,부서초안제출,2022-02-12,통과,1
E000409,P00078,2,예산실1차조정,2022-03-14,반려,1
E000410,P00078,2,예산실1차조정,2022-04-10,통과,2
E000411,P00078,3,경영진검토,2022-05-06,통과,1
E000412,P00078,4,이사회승인,2022-05-27,반려,1
E000413,P00078,4,이사회승인,2022-06-11,통과,2
E000414,P00078,5,확정배포,2022-07-16,통과,1
E000415,P00079,1,부서초안제출,2022-01-19,통과,1
E000416,P00079,2,예산실1차조정,2022-02-10,통과,1
E000417,P00079,3,경영진검토,2022-03-01,통과,1
E000418,P00079,4,이사회승인,2022-03-26,통과,1
E000419,P00079,5,확정배포,2022-04-14,반려,1
E000420,P00079,5,확정배포,2022-05-02,통과,2
E000421,P00080,1,부서초안제출,2022-02-18,통과,1
E000422,P00080,2,예산실1차조정,2022-03-04,반려,1
E000423,P00080,2,예산실1차조정,2022-03-24,통과,2
E000424,P00080,3,경영진검토,2022-04-06,반려,1
E000425,P00080,3,경영진검토,2022-05-20,통과,2
E000426,P00080,4,이사회승인,2022-06-13,통과,1
E000427,P00080,5,확정배포,2022-06-27,통과,1
E000428,P00081,1,부서초안제출,2022-03-03,통과,1
E000429,P00081,2,예산실1차조정,2022-04-11,통과,1
E000430,P00081,3,경영진검토,2022-05-06,반려,1
E000431,P00081,3,경영진검토,2022-05-21,통과,2
E000432,P00081,4,이사회승인,2022-06-25,통과,1
E000433,P00081,5,확정배포,2022-07-15,통과,1
E000434,P00082,1,부서초안제출,2022-01-03,통과,1
E000435,P00082,2,예산실1차조정,2022-02-09,통과,1
E000436,P00082,3,경영진검토,2022-03-16,통과,1
E000437,P00082,4,이사회승인,2022-03-29,통과,1
E000438,P00082,5,확정배포,2022-04-10,통과,1
E000439,P00083,1,부서초안제출,2022-02-03,통과,1
E000440,P00083,2,예산실1차조정,2022-03-05,통과,1
E000441,P00083,3,경영진검토,2022-04-14,통과,1
E000442,P00083,4,이사회승인,2022-05-04,반려,1
E000443,P00083,4,이사회승인,,반려,2
E000444,P00084,1,부서초안제출,,통과,1
E000445,P00084,2,예산실1차조정,2022-02-07,통과,1
E000446,P00084,3,경영진검토,2022-03-17,통과,1
E000447,P00084,4,이사회승인,2022-04-11,반려,1
E000448,P00084,4,이사회승인,2022-04-24,반려,2
E000449,P00085,1,부서초안제출,2022-02-06,통과,1
E000450,P00085,2,예산실1차조정,2022-03-21,통과,1
E000451,P00085,3,경영진검토,2022-03-31,철회,1
E000452,P00086,1,부서초안제출,2022-01-29,통과,1
E000453,P00086,2,예산실1차조정,2022-02-12,통과,1
E000454,P00086,3,경영진검토,2022-03-27,통과,1
E000455,P00086,4,이사회승인,2022-04-20,반려,1
E000456,P00086,4,이사회승인,2022-05-04,통과,2
E000457,P00086,5,확정배포,2022-06-11,통과,1
E000458,P00087,1,부서초안제출,2022-03-04,통과,1
E000459,P00087,2,예산실1차조정,2022-04-15,통과,1
E000460,P00087,3,경영진검토,2022-05-18,통과,1
E000461,P00087,4,이사회승인,2022-06-18,통과,1
E000462,P00087,5,확정배포,2022-07-16,통과,1
E000463,P00088,1,부서초안제출,2023-02-26,통과,1
E000464,P00088,2,예산실1차조정,2023-03-08,통과,1
E000465,P00088,3,경영진검토,2023-04-14,통과,1
E000466,P00088,4,이사회승인,2023-04-28,통과,1
E000467,P00088,5,확정배포,2023-05-30,통과,1
E000468,P00089,1,부서초안제출,2023-01-24,통과,1
E000469,P00089,2,예산실1차조정,2023-02-26,통과,1
E000470,P00089,3,경영진검토,2023-03-28,통과,1
E000471,P00089,4,이사회승인,2023-04-10,반려,1
E000472,P00089,4,이사회승인,2023-05-13,통과,2
E000473,P00089,5,확정배포,2023-06-02,통과,1
E000474,P00090,1,부서초안제출,2023-03-08,통과,1
E000475,P00090,2,예산실1차조정,2023-04-13,통과,1
E000476,P00090,3,경영진검토,2023-05-16,통과,1
E000477,P00090,4,이사회승인,2023-06-08,반려,1
E000478,P00090,4,이사회승인,2023-07-02,반려,2
E000479,P00091,1,부서초안제출,2023-02-14,통과,1
E000480,P00091,2,예산실1차조정,2023-03-13,통과,1
E000481,P00091,3,경영진검토,2023-04-16,통과,1
E000482,P00091,4,이사회승인,2023-05-10,통과,1
E000483,P00091,5,확정배포,2023-05-24,통과,1
E000484,P00092,1,부서초안제출,2023-02-19,통과,1
E000485,P00092,2,예산실1차조정,2023-03-29,반려,1
E000486,P00092,2,예산실1차조정,2023-04-14,통과,2
E000487,P00092,3,경영진검토,2023-05-25,통과,1
E000488,P00092,4,이사회승인,2023-06-27,통과,1
E000489,P00092,5,확정배포,2023-07-16,통과,1
E000490,P00093,1,부서초안제출,2023-02-20,통과,1
