plan_id,department_id,cycle_year,task_name,submitted_date,planned_amount,final_status,prep_days,is_new_business
P00030,D01,2026,영업1팀 2026 과제2,2026-02-25,80527983,확정배포,68,예
P00031,D01,2026,영업1팀 2026 과제3,2026-01-31,70687579,확정배포,52,아니오
P00032,D01,2026,영업1팀 2026 과제4,2026-02-24,57800111,확정배포,73,아니오
P00033,D01,2026,영업1팀 2026 과제5,2026-02-25,49178190,확정배포,51,아니오
P00034,D01,2026,영업1팀 2026 과제6,2026-02-24,19000483,확정배포,31,아니오
P00035,D02,2022,영업2팀 2022 과제1,2022-02-10,129422863,반려종결,29,아니오
P00036,D02,2022,영업2팀 2022 과제2,2022-01-09,41821379,확정배포,88,아니오
P00037,D02,2022,영업2팀 2022 과제3,2022-01-11,83343037,철회,54,아니오
P00038,D02,2022,영업2팀 2022 과제4,2022-01-12,6624236,확정배포,87,예
P00039,D02,2022,영업2팀 2022 과제5,2022-01-09,36459914,확정배포,41,예
P00040,D02,2022,영업2팀 2022 과제6,2022-03-15,56714741,확정배포,39,예
P00041,D02,2022,영업2팀 2022 과제7,2022-02-17,55158955,확정배포,61,아니오
P00042,D02,2022,영업2팀 2022 과제8,2022-01-10,42390846,확정배포,44,예
P00043,D02,2022,영업2팀 2022 과제9,2022-02-14,26355623,확정배포,27,아니오
P00044,D02,2023,영업2팀 2023 과제1,2023-02-09,412565836,반려종결,65,아니오
P00045,D02,2023,영업2팀 2023 과제2,2023-03-08,37840674,확정배포,32,아니오
P00046,D02,2023,영업2팀 2023 과제3,2023-01-26,92432796,확정배포,61,예
P00047,D02,2023,영업2팀 2023 과제4,2023-03-16,24067788,확정배포,60,아니오
P00048,D02,2023,영업2팀 2023 과제5,2023-03-11,16632437,확정배포,42,아니오
P00049,D02,2023,영업2팀 2023 과제6,2023-01-19,59834953,확정배포,54,아니오
P00050,D02,2023,영업2팀 2023 과제7,2023-02-17,31704214,반려종결,20,아니오
P00051,D02,2023,영업2팀 2023 과제8,2023-01-28,30208234,확정배포,59,예
P00052,D02,2024,영업2팀 2024 과제1,2024-02-15,65240116,철회,22,아니오
P00053,D02,2024,영업2팀 2024 과제2,2024-01-21,17721243,확정배포,41,아니오
P00054,D02,2024,영업2팀 2024 과제3,2024-01-09,13811978,반려종결,58,예
P00055,D02,2024,영업2팀 2024 과제4,2024-01-12,205132970,반려종결,27,아니오
P00056,D02,2024,영업2팀 2024 과제5,2024-02-04,63329978,확정배포,67,아니오
P00057,D02,2025,영업2팀 2025 과제1,2025-02-19,19270018,확정배포,51,아니오
P00058,D02,2025,영업2팀 2025 과제2,2025-03-09,15610784,확정배포,67,아니오
P00059,D02,2025,영업2팀 2025 과제3,2025-01-26,74721397,확정배포,77,아니오
P00060,D02,2025,영업2팀 2025 과제4,2025-02-07,178678534,반려종결,44,아니오
P00061,D02,2025,영업2팀 2025 과제5,2025-02-07,29264717,확정배포,64,아니오
P00062,D02,2025,영업2팀 2025 과제6,2025-01-14,339961201,확정배포,52,아니오
P00063,D02,2025,영업2팀 2025 과제7,2025-01-24,52834212,확정배포,70,아니오
P00064,D02,2025,영업2팀 2025 과제8,2025-02-08,31942418,철회,37,아니오
P00065,D02,2025,영업2팀 2025 과제9,2025-01-22,15688361,철회,45,예
P00066,D02,2025,영업2팀 2025 과제10,2025-01-09,13332272,확정배포,84,아니오
P00067,D02,2026,영업2팀 2026 과제1,2026-02-25,79445794,철회,42,아니오
P00068,D02,2026,영업2팀 2026 과제2,2026-01-12,5269564,확정배포,43,아니오
P00069,D02,2026,영업2팀 2026 과제3,2026-02-27,40237347,확정배포,32,아니오
P00070,D02,2026,영업2팀 2026 과제4,2026-02-01,70647667,철회,39,예
P00071,D02,2026,영업2팀 2026 과제5,2026-01-26,42937622,확정배포,30,아니오
P00072,D02,2026,영업2팀 2026 과제6,2026-01-05,42049049,철회,31,아니오
P00073,D02,2026,영업2팀 2026 과제7,2026-03-16,89057429,확정배포,72,아니오
P00074,D02,2026,영업2팀 2026 과제8,2026-03-04,97574939,확정배포대기,35,아니오
P00075,D02,2026,영업2팀 2026 과제9,2026-03-15,29883111,확정배포대기,42,아니오
P00076,D02,2026,영업2팀 2026 과제10,2026-03-06,53030116,확정배포,81,예
P00077,D03,2022,마케팅기획팀 2022 과제1,2022-03-01,29691287,확정배포,58,아니오
P00078,D03,2022,마케팅기획팀 2022 과제2,2022-02-12,21072131,확정배포,35,예
P00079,D03,2022,마케팅기획팀 2022 과제3,2022-01-19,37785269,확정배포,68,아니오
P00080,D03,2022,마케팅기획팀 2022 과제4,2022-02-18,6832954,확정배포,90,아니오
P00081,D03,2022,마케팅기획팀 2022 과제5,2022-03-03,18816918,확정배포,86,아니오
P00082,D03,2022,마케팅기획팀 2022 과제6,2022-01-03,166324040,확정배포,46,예
P00083,D03,2022,마케팅기획팀 2022 과제7,2022-02-03,96849097,반려종결,7,예
P00084,D03,2022,마케팅기획팀 2022 과제8,2022-01-01,34293210,반려종결,30,예
P00085,D03,2022,마케팅기획팀 2022 과제9,2022-02-06,52622696,철회,26,예
P00086,D03,2022,마케팅기획팀 2022 과제10,2022-01-29,48179720,확정배포,36,아니오
P00087,D03,2022,마케팅기획팀 2022 과제11,2022-03-04,13989450,확정배포,63,예
P00088,D03,2023,마케팅기획팀 2023 과제1,2023-02-26,11660673,확정배포,65,아니오
P00089,D03,2023,마케팅기획팀 2023 과제2,2023-01-24,107630141,확정배포,28,아니오
P00090,D03,2023,마케팅기획팀 2023 과제3,2023-03-08,68605355,반려종결,9,아니오
P00091,D03,2023,마케팅기획팀 2023 과제4,2023-02-14,44798614,확정배포,46,아니오
P00092,D03,2023,마케팅기획팀 2023 과제5,2023-02-19,56005381,확정배포,38,예
P00093,D03,2023,마케팅기획팀 2023 과제6,2023-02-20,57589200,확정배포,75,예
P00094,D03,2023,마케팅기획팀 2023 과제7,2023-01-02,39774899,확정배포,67,아니오
P00095,D03,2024,마케팅기획팀 2024 과제1,2024-01-24,59042083,확정배포,52,예
P00096,D03,2024,마케팅기획팀 2024 과제2,2024-01-22,26407958,철회,32,예
P00097,D03,2024,마케팅기획팀 2024 과제3,2024-01-26,59979977,확정배포,35,아니오
P00098,D03,2024,마케팅기획팀 2024 과제4,2024-03-11,58781339,확정배포,62,아니오
P00099,D03,2024,마케팅기획팀 2024 과제5,2024-01-01,120079389,확정배포,77,아니오
P00100,D03,2024,마케팅기획팀 2024 과제6,2024-03-08,128727530,확정배포,39,아니오
P00101,D03,2024,마케팅기획팀 2024 과제7,2024-02-08,39936358,확정배포,67,예
P00102,D03,2024,마케팅기획팀 2024 과제8,2024-01-07,126987577,확정배포,69,예
P00103,D03,2024,마케팅기획팀 2024 과제9,2024-02-26,28181567,반려종결,89,아니오
P00104,D03,2024,마케팅기획팀 2024 과제10,2024-01-30,50900369,확정배포,34,예
P00105,D03,2024,마케팅기획팀 2024 과제11,2024-01-29,201553971,철회,79,아니오
P00106,D03,2024,마케팅기획팀 2024 과제12,2024-02-09,14156952,확정배포,48,예
P00107,D03,2025,마케팅기획팀 2025 과제1,2025-02-20,70390729,철회,62,아니오
P00108,D03,2025,마케팅기획팀 2025 과제2,2025-01-16,29961448,확정배포,40,아니오
P00109,D03,2025,마케팅기획팀 2025 과제3,2025-02-01,25710892,확정배포,79,예
P00110,D03,2025,마케팅기획팀 2025 과제4,2025-02-15,33687553,반려종결,19,아니오
P00111,D03,2025,마케팅기획팀 2025 과제5,2025-02-21,80543095,확정배포,66,아니오
P00112,D03,2025,마케팅기획팀 2025 과제6,2025-02-07,5094446,확정배포,44,아니오
P00113,D03,2025,마케팅기획팀 2025 과제7,2025-01-31,42337677,확정배포,51,아니오
P00114,D03,2025,마케팅기획팀 2025 과제8,2025-01-26,190599178,반려종결,41,예
P00115,D03,2025,마케팅기획팀 2025 과제9,2025-01-14,67944328,반려종결,48,아니오
P00116,D03,2026,마케팅기획팀 2026 과제1,2026-03-11,40670752,확정배포,32,아니오
P00117,D03,2026,마케팅기획팀 2026 과제2,2026-01-01,12070119,확정배포,58,예
P00118,D03,2026,마케팅기획팀 2026 과제3,2026-03-06,16704420,확정배포,76,아니오
P00119,D03,2026,마케팅기획팀 2026 과제4,2026-01-10,13769950,확정배포,56,아니오
P00120,D03,2026,마케팅기획팀 2026 과제5,2026-01-29,48929596,확정배포,61,아니오
P00121,D03,2026,마케팅기획팀 2026 과제6,2026-03-15,71994422,확정배포,28,예
P00122,D03,2026,마케팅기획팀 2026 과제7,2026-01-23,31718374,확정배포,61,예
P00123,D04,2022,해외사업팀 2022 과제1,2022-01-13,86512549,반려종결,40,아니오
P00124,D04,2022,해외사업팀 2022 과제2,2022-02-16,55288806,확정배포,71,예
P00125,D04,2022,해외사업팀 2022 과제3,2022-01-28,122531904,확정배포,28,아니오
P00126,D04,2022,해외사업팀 2022 과제4,2022-01-29,66852005,확정배포,66,아니오
P00127,D04,2022,해외사업팀 2022 과제5,2022-02-10,63204106,반려종결,19,아니오
P00128,D04,2022,해외사업팀 2022 과제6,2022-01-10,18495852,확정배포,69,아니오
P00129,D04,2022,해외사업팀 2022 과제7,2022-02-18,83635978,확정배포,63,아니오
P00130,D04,2022,해외사업팀 2022 과제8,2022-01-21,12960466,확정배포,45,예
P00131,D04,2023,해외사업팀 2023 과제1,2023-01-22,29710452,확정배포,27,아니오
P00132,D04,2023,해외사업팀 2023 과제2,2023-01-28,96949222,반려종결,17,아니오
P00133,D04,2023,해외사업팀 2023 과제3,2023-01-17,34397034,확정배포,86,예
P00134,D04,2023,해외사업팀 2023 과제4,2023-02-05,46775347,반려종결,41,아니오
P00135,D04,2023,해외사업팀 2023 과제5,2023-01-16,23922609,확정배포,29,아니오
P00136,D04,2023,해외사업팀 2023 과제6,2023-02-22,6598018,확정배포,68,예
P00137,D04,2023,해외사업팀 2023 과제7,2023-02-13,69410827,반려종결,45,아니오
P00138,D04,2023,해외사업팀 2023 과제8,2023-03-05,155901005,확정배포,50,아니오
P00139,D04,2024,해외사업팀 2024 과제1,2024-02-17,28661845,확정배포,32,예
P00140,D04,2024,해외사업팀 2024 과제2,2024-03-13,13976299,확정배포,66,아니오
P00141,D04,2024,해외사업팀 2024 과제3,2024-01-16,100523574,확정배포,87,아니오
P00142,D04,2024,해외사업팀 2024 과제4,2024-01-15,11435143,확정배포,37,아니오
P00143,D04,2024,해외사업팀 2024 과제5,2024-03-13,124284745,확정배포,25,아니오
P00144,D04,2025,해외사업팀 2025 과제1,2025-03-12,64290114,확정배포,45,아니오
P00145,D04,2025,해외사업팀 2025 과제2,2025-01-19,166650117,확정배포,48,아니오
P00146,D04,2025,해외사업팀 2025 과제3,2025-02-09,62629301,확정배포,48,아니오
P00147,D04,2025,해외사업팀 2025 과제4,2025-03-01,64531708,확정배포,28,아니오
P00148,D04,2026,해외사업팀 2026 과제1,2026-03-15,21282786,확정배포,62,예
P00149,D04,2026,해외사업팀 2026 과제2,2026-01-18,55288336,확정배포,58,아니오
P00150,D04,2026,해외사업팀 2026 과제3,2026-03-06,35066052,확정배포,85,아니오
P00151,D04,2026,해외사업팀 2026 과제4,2026-01-26,25544658,확정배포,64,아니오
P00152,D05,2022,신사업개발팀 2022 과제1,2022-03-11,24751990,확정배포,26,아니오
P00153,D05,2022,신사업개발팀 2022 과제2,2022-01-07,41192670,확정배포,89,예
P00154,D05,2022,신사업개발팀 2022 과제3,2022-03-01,28070510,확정배포,40,아니오
P00155,D05,2022,신사업개발팀 2022 과제4,2022-03-10,23936741,확정배포,50,아니오
P00156,D05,2022,신사업개발팀 2022 과제5,2022-02-03,13322347,확정배포,84,아니오
P00157,D05,2022,신사업개발팀 2022 과제6,2022-03-11,48138854,확정배포,48,아니오
P00158,D05,2022,신사업개발팀 2022 과제7,2022-02-14,99330545,철회,33,아니오
P00159,D05,2022,신사업개발팀 2022 과제8,2022-01-17,34855964,반려종결,42,아니오
P00160,D05,2022,신사업개발팀 2022 과제9,2022-01-18,39804606,확정배포,28,아니오
P00161,D05,2022,신사업개발팀 2022 과제10,2022-01-31,119587131,확정배포,43,아니오
P00162,D05,2023,신사업개발팀 2023 과제1,2023-02-13,31552541,확정배포,88,예
P00163,D05,2023,신사업개발팀 2023 과제2,2023-02-26,28173852,확정배포,39,아니오
P00164,D05,2023,신사업개발팀 2023 과제3,2023-02-08,71847491,확정배포,79,아니오
P00165,D05,2023,신사업개발팀 2023 과제4,2023-01-11,13593075,확정배포,44,아니오
P00166,D05,2023,신사업개발팀 2023 과제5,2023-02-23,6536394,확정배포,44,아니오
P00167,D05,2023,신사업개발팀 2023 과제6,2023-01-17,59871842,철회,15,아니오
P00168,D05,2023,신사업개발팀 2023 과제7,2023-02-27,26092204,반려종결,27,아니오
P00169,D05,2023,신사업개발팀 2023 과제8,2023-01-12,14881607,확정배포,44,아니오
P00170,D05,2023,신사업개발팀 2023 과제9,2023-02-24,18313204,확정배포,50,아니오
P00171,D05,2024,신사업개발팀 2024 과제1,2024-02-20,17571826,확정배포,54,예
P00172,D05,2024,신사업개발팀 2024 과제2,2024-01-15,46172206,확정배포,38,아니오
P00173,D05,2024,신사업개발팀 2024 과제3,2024-02-01,30218728,철회,18,아니오
P00174,D05,2024,신사업개발팀 2024 과제4,2024-02-16,11919418,확정배포,53,아니오
P00175,D05,2024,신사업개발팀 2024 과제5,2024-01-11,47609507,확정배포,83,아니오
P00176,D05,2025,신사업개발팀 2025 과제1,2025-03-11,292138146,확정배포,74,예
P00177,D05,2025,신사업개발팀 2025 과제2,2025-01-01,197147858,확정배포,82,아니오
P00178,D05,2025,신사업개발팀 2025 과제3,2025-03-11,19560294,철회,84,아니오
P00179,D05,2025,신사업개발팀 2025 과제4,2025-01-31,77296008,확정배포,40,예
P00180,D05,2025,신사업개발팀 2025 과제5,2025-01-20,43663845,확정배포,42,아니오
P00181,D05,2025,신사업개발팀 2025 과제6,2025-03-12,23151093,확정배포,59,아니오
P00182,D05,2026,신사업개발팀 2026 과제1,2026-03-12,6716151,확정배포,75,아니오
P00183,D05,2026,신사업개발팀 2026 과제2,2026-01-07,14100101,확정배포,56,예
P00184,D05,2026,신사업개발팀 2026 과제3,2026-02-27,19305991,확정배포,49,아니오
P00185,D05,2026,신사업개발팀 2026 과제4,2026-02-26,56593768,확정배포,43,아니오
P00186,D05,2026,신사업개발팀 2026 과제5,2026-02-01,41441580,확정배포,50,예
P00187,D05,2026,신사업개발팀 2026 과제6,2026-01-13,49825652,확정배포,84,예
P00188,D06,2022,생산1공장 2022 과제1,2022-01-06,44661671,확정배포,81,아니오
P00189,D06,2022,생산1공장 2022 과제2,2022-02-04,70426444,확정배포,40,아니오
P00190,D06,2022,생산1공장 2022 과제3,2022-03-09,61400331,반려종결,43,예
P00191,D06,2022,생산1공장 2022 과제4,2022-02-06,26125355,확정배포,28,예
P00192,D06,2023,생산1공장 2023 과제1,2023-01-25,19152592,확정배포,77,예
P00193,D06,2023,생산1공장 2023 과제2,2023-02-10,127358667,확정배포,42,아니오
P00194,D06,2023,생산1공장 2023 과제3,2023-02-09,49173652,확정배포,80,예
P00195,D06,2023,생산1공장 2023 과제4,2023-01-16,38447759,확정배포,42,예
P00196,D06,2023,생산1공장 2023 과제5,2023-02-16,37911536,확정배포,79,아니오
P00197,D06,2023,생산1공장 2023 과제6,2023-02-16,19652176,확정배포,58,아니오
P00198,D06,2024,생산1공장 2024 과제1,2024-01-02,90201261,확정배포,51,아니오
P00199,D06,2024,생산1공장 2024 과제2,2024-02-21,309258298,확정배포,86,아니오
P00200,D06,2024,생산1공장 2024 과제3,2024-01-06,30234458,확정배포,48,아니오
P00201,D06,2024,생산1공장 2024 과제4,2024-01-04,41881108,확정배포,90,예
P00202,D06,2025,생산1공장 2025 과제1,2025-01-28,63403684,철회,19,아니오
P00203,D06,2025,생산1공장 2025 과제2,2025-01-09,42977838,철회,85,아니오
P00204,D06,2025,생산1공장 2025 과제3,2025-02-14,16637664,반려종결,38,아니오
P00205,D06,2025,생산1공장 2025 과제4,2025-01-16,45584258,확정배포,49,아니오
P00206,D06,2025,생산1공장 2025 과제5,2025-01-11,81004648,반려종결,34,아니오
P00207,D06,2025,생산1공장 2025 과제6,2025-01-05,81109165,확정배포,63,아니오
P00208,D06,2025,생산1공장 2025 과제7,2025-03-16,8940489,반려종결,11,아니오
P00209,D06,2025,생산1공장 2025 과제8,2025-01-15,21257036,확정배포,69,아니오
P00210,D06,2025,생산1공장 2025 과제9,2025-01-02,108143832,확정배포,52,아니오
P00211,D06,2025,생산1공장 2025 과제10,2025-01-13,23696463,확정배포,85,예
P00212,D06,2025,생산1공장 2025 과제11,2025-01-31,35435950,반려종결,7,아니오
P00213,D06,2026,생산1공장 2026 과제1,2026-03-04,24604048,확정배포,76,아니오
P00214,D06,2026,생산1공장 2026 과제2,2026-03-04,13660347,확정배포,39,아니오
P00215,D06,2026,생산1공장 2026 과제3,2026-03-13,41154040,확정배포,68,예
P00216,D06,2026,생산1공장 2026 과제4,2026-01-01,137613916,확정배포,82,아니오
P00217,D06,2026,생산1공장 2026 과제5,2026-02-07,5535601,철회,41,예
P00218,D06,2026,생산1공장 2026 과제6,2026-02-16,91101179,확정배포,40,예
P00219,D06,2026,생산1공장 2026 과제7,2026-02-26,65641328,확정배포,58,아니오
P00220,D06,2026,생산1공장 2026 과제8,2026-01-16,64875185,확정배포,80,예
P00221,D07,2022,생산2공장 2022 과제1,2022-01-03,30077797,확정배포,46,아니오
P00222,D07,2022,생산2공장 2022 과제2,2022-01-15,152261791,확정배포,73,예
P00223,D07,2022,생산2공장 2022 과제3,2022-01-19,149988888,확정배포,29,아니오
P00224,D07,2022,생산2공장 2022 과제4,2022-03-16,60261065,반려종결,39,아니오
P00225,D07,2022,생산2공장 2022 과제5,2022-02-03,51557178,확정배포,89,아니오
P00226,D07,2022,생산2공장 2022 과제6,2022-02-15,12021538,확정배포,73,아니오
P00227,D07,2022,생산2공장 2022 과제7,2022-03-03,21507227,확정배포,27,아니오
P00228,D07,2022,생산2공장 2022 과제8,2022-03-13,40016025,확정배포,34,아니오
P00229,D07,2023,생산2공장 2023 과제1,2023-01-02,34595032,확정배포,58,아니오
P00230,D07,2023,생산2공장 2023 과제2,2023-01-17,23503822,철회,24,아니오
P00231,D07,2023,생산2공장 2023 과제3,2023-02-11,33870463,확정배포,57,아니오
P00232,D07,2023,생산2공장 2023 과제4,2023-02-23,74176378,반려종결,32,아니오
P00233,D07,2023,생산2공장 2023 과제5,2023-01-07,120791607,확정배포,70,아니오
P00234,D07,2023,생산2공장 2023 과제6,2023-03-09,94010167,확정배포,34,아니오
P00235,D07,2023,생산2공장 2023 과제7,2023-02-03,57097958,확정배포,56,아니오
P00236,D07,2023,생산2공장 2023 과제8,2023-01-07,127157461,반려종결,10,아니오
P00237,D07,2023,생산2공장 2023 과제9,2023-03-02,26268846,확정배포,69,아니오
P00238,D07,2023,생산2공장 2023 과제10,2023-02-12,102098340,철회,30,아니오
P00239,D07,2023,생산2공장 2023 과제11,2023-02-05,44122820,반려종결,23,아니오
P00240,D07,2024,생산2공장 2024 과제1,2024-01-05,24451362,확정배포,66,아니오
P00241,D07,2024,생산2공장 2024 과제2,2024-01-04,60548006,확정배포,63,예
P00242,D07,2024,생산2공장 2024 과제3,2024-01-24,150825083,확정배포,79,아니오
P00243,D07,2024,생산2공장 2024 과제4,2024-03-03,87473802,확정배포,69,예
P00244,D07,2024,생산2공장 2024 과제5,2024-01-25,40083941,확정배포,32,예
P00245,D07,2024,생산2공장 2024 과제6,2024-01-09,35868140,확정배포,66,아니오
P00246,D07,2024,생산2공장 2024 과제7,2024-02-02,49013438,확정배포,66,아니오
P00247,D07,2024,생산2공장 2024 과제8,2024-01-12,80807419,확정배포,50,아니오
P00248,D07,2024,생산2공장 2024 과제9,2024-02-15,10619733,확정배포,44,아니오
P00249,D07,2024,생산2공장 2024 과제10,2024-02-20,21644016,확정배포,70,아니오
P00250,D07,2024,생산2공장 2024 과제11,2024-02-10,111187832,확정배포,39,아니오
P00251,D07,2024,생산2공장 2024 과제12,2024-01-11,21943459,확정배포,78,아니오
P00252,D07,2025,생산2공장 2025 과제1,2025-01-20,111365740,확정배포,34,아니오
P00253,D07,2025,생산2공장 2025 과제2,2025-03-11,12664873,확정배포,33,아니오
P00254,D07,2025,생산2공장 2025 과제3,2025-02-14,8119135,반려종결,26,아니오
P00255,D07,2025,생산2공장 2025 과제4,2025-02-03,58248021,확정배포,78,아니오
P00256,D07,2025,생산2공장 2025 과제5,2025-01-21,12708979,확정배포,42,아니오
P00257,D07,2025,생산2공장 2025 과제6,2025-02-17,23543812,반려종결,68,예
P00258,D07,2025,생산2공장 2025 과제7,2025-01-14,35585899,확정배포,76,예
P00259,D07,2025,생산2공장 2025 과제8,2025-02-07,138357064,확정배포,34,예
P00260,D07,2026,생산2공장 2026 과제1,2026-02-09,73951717,확정배포,66,아니오
P00261,D07,2026,생산2공장 2026 과제2,2026-03-03,96835344,확정배포대기,83,아니오
P00262,D07,2026,생산2공장 2026 과제3,2026-01-20,34162233,확정배포,60,아니오
P00263,D07,2026,생산2공장 2026 과제4,2026-01-02,45136444,확정배포,36,아니오
P00264,D07,2026,생산2공장 2026 과제5,2026-03-02,143407892,확정배포,55,아니오
P00265,D07,2026,생산2공장 2026 과제6,2026-01-08,115018755,확정배포,55,예
P00266,D07,2026,생산2공장 2026 과제7,2026-02-17,79687947,확정배포,90,아니오
P00267,D07,2026,생산2공장 2026 과제8,2026-02-28,77469388,확정배포,44,아니오
P00268,D08,2022,R&D1팀 2022 과제1,2022-02-11,15959824,확정배포,89,아니오
P00269,D08,2022,R&D1팀 2022 과제2,2022-02-24,51575725,확정배포,36,예
P00270,D08,2022,R&D1팀 2022 과제3,2022-02-12,38323935,반려종결,65,예
P00271,D08,2022,R&D1팀 2022 과제4,2022-02-18,21797083,철회,74,아니오
P00272,D08,2022,R&D1팀 2022 과제5,2022-01-05,24794786,철회,34,아니오
P00273,D08,2022,R&D1팀 2022 과제6,2022-03-03,27840431,확정배포,73,아니오
P00274,D08,2022,R&D1팀 2022 과제7,2022-01-18,31417338,확정배포,90,예
P00275,D08,2022,R&D1팀 2022 과제8,2022-02-12,17436249,반려종결,40,아니오
P00276,D08,2022,R&D1팀 2022 과제9,2022-02-05,86597262,확정배포,33,예
P00277,D08,2022,R&D1팀 2022 과제10,2022-01-23,28873230,확정배포,64,예
P00278,D08,2023,R&D1팀 2023 과제1,2023-03-03,113481028,확정배포,27,예
P00279,D08,2023,R&D1팀 2023 과제2,2023-01-11,15828754,확정배포,27,아니오
P00280,D08,2023,R&D1팀 2023 과제3,2023-01-11,17485479,반려종결,11,아니오
P00281,D08,2023,R&D1팀 2023 과제4,2023-02-09,106920353,확정배포,73,아니오
P00282,D08,2023,R&D1팀 2023 과제5,2023-02-23,11817822,철회,24,아니오
P00283,D08,2023,R&D1팀 2023 과제6,2023-01-06,174925642,확정배포,72,예
P00284,D08,2023,R&D1팀 2023 과제7,2023-03-04,105403396,철회,13,아니오
P00285,D08,2023,R&D1팀 2023 과제8,2023-01-09,14378034,확정배포,67,아니오
P00286,D08,2024,R&D1팀 2024 과제1,2024-02-14,104629076,확정배포,84,아니오
P00287,D08,2024,R&D1팀 2024 과제2,2024-02-01,65347410,확정배포,75,예
P00288,D08,2024,R&D1팀 2024 과제3,2024-02-02,45100373,확정배포,53,아니오
P00289,D08,2024,R&D1팀 2024 과제4,2024-03-03,67438240,확정배포,78,아니오
P00290,D08,2024,R&D1팀 2024 과제5,2024-02-05,15080883,확정배포,27,예
P00291,D08,2024,R&D1팀 2024 과제6,2024-03-06,58135703,확정배포,40,아니오
P00292,D08,2024,R&D1팀 2024 과제7,2024-01-25,5213216,확정배포,68,아니오
P00293,D08,2024,R&D1팀 2024 과제8,2024-02-21,39529117,반려종결,42,아니오
P00294,D08,2024,R&D1팀 2024 과제9,2024-01-15,48801609,확정배포,87,아니오
P00295,D08,2024,R&D1팀 2024 과제10,2024-02-02,67349624,확정배포,81,예
P00296,D08,2024,R&D1팀 2024 과제11,2024-01-17,179199291,확정배포,40,아니오
P00297,D08,2025,R&D1팀 2025 과제1,2025-03-14,40112342,반려종결,54,아니오
P00298,D08,2025,R&D1팀 2025 과제2,2025-02-03,43856766,확정배포,35,아니오
P00299,D08,2025,R&D1팀 2025 과제3,2025-02-07,107758768,반려종결,20,아니오
P00300,D08,2025,R&D1팀 2025 과제4,2025-02-15,18596948,확정배포,81,예
P00301,D08,2025,R&D1팀 2025 과제5,2025-01-19,143087708,확정배포,72,아니오
P00302,D08,2025,R&D1팀 2025 과제6,2025-01-06,88668178,확정배포,89,아니오
P00303,D08,2025,R&D1팀 2025 과제7,2025-02-14,145652082,확정배포,27,아니오
P00304,D08,2025,R&D1팀 2025 과제8,2025-02-28,65090616,확정배포,73,아니오
P00305,D08,2025,R&D1팀 2025 과제9,2025-01-10,71925158,확정배포,63,예
P00306,D08,2025,R&D1팀 2025 과제10,2025-03-10,33663262,확정배포,29,아니오
P00307,D08,2025,R&D1팀 2025 과제11,2025-02-20,34669469,확정배포,60,아니오
