plan_id,planned_amount,actual_amount,variance_pct
P00515,66883479,63809413,4.6
P00517,34684543,30477184,12.13
P00519,21361962,23264233,8.9
P00520,119899736,104168675,13.12
P00521,44759044,52623374,17.57
P00522,44408175,35221473,20.69
P00524,4278526,4365630,2.04
P00525,170133990,189703205,11.5
P00526,9095941,7138269,21.52
P00527,34898521,41941969,20.18
P00528,22471933,21516234,4.25
P00529,87675039,88912093,1.41
P00530,24564620,25968363,5.71
P00531,76083936,81608611,7.26
P00532,252426703,259340264,2.74
P00533,48493359,53330011,9.97
P00534,191057017,200974227,5.19
P00535,12209619,15649569,28.17
P00536,126708233,137297545,8.36
P00537,54834964,72071878,31.43
P00538,13770311,15755612,14.42
P00539,65153954,46329672,28.89
P00552,97142114,122506917,26.11
P00554,35696430,33646226,5.74
P00555,11686857,13434677,14.96
P00556,256684624,257372370,0.27
P00557,31552908,34900956,10.61
P00558,21974445,20461550,6.88
P00559,257622593,273743186,6.26
P00560,15788488,15388738,2.53
P00562,3593622,4501516,25.26
P00563,33181650,35510567,7.02
P00564,36696556,42191895,14.98
P00565,28406951,18570978,34.63
P00568,24052014,23846194,0.86
P00569,38390795,39966935,4.11
P00570,56978587,58252713,2.24
P00571,78414674,85951556,9.61
P00572,163816178,154225612,5.85
P00573,38749001,39051473,0.78
P00575,39559138,47035668,18.9
P00577,8171563,5192290,36.46
P00578,56223879,61525570,9.43
P00579,48671745,46071623,5.34
P00580,42856901,36601040,14.6
P00581,54030848,56940251,5.38
